TransactionID,TransactionAmt,risk_score,cluster_id,isFraud,top_reason
3000019,172.52,0.958,,1,transaction timing unusual for this hour (11:00); anonymized engineered feature V322 (value=0.99) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C303 (value=16.67) - pushed risk up; exact business meaning not disclosed by the data provider
3000011,36.83,0.94,,0,anonymized engineered feature V109 (value=10.01) - pushed risk up; exact business meaning not disclosed by the data provider; unusually large distance field (7.5)
3000002,1000.53,0.92,1.0,1,card network 'discover' associated with elevated risk in this data; anonymized engineered feature V258 (value=14.39) - pushed risk up; exact business meaning not disclosed by the data provider
3000031,44.65,0.916,,0,transaction timing unusual for this hour (6:00); anonymized engineered feature D41 (value=13.96) - pushed risk up; exact business meaning not disclosed by the data provider; card network 'discover' associated with elevated risk in this data
3000010,913.8,0.91,3.0,1,device type 'mobile' associated with elevated risk in this data; card network 'discover' associated with elevated risk in this data; device type 'mobile' associated with elevated risk in this data
3000001,659.32,0.88,1.0,1,anonymized engineered feature V125 (value=13.99) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature D90 (value=14.34) - pushed risk up; exact business meaning not disclosed by the data provider; transaction timing unusual for this hour (1:00)
3000004,1117.6,0.88,1.0,0,unusually high transaction amount ($1117.60); anonymized engineered feature C118 (value=11.82) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C164 (value=15.65) - pushed risk up; exact business meaning not disclosed by the data provider
3000023,57.73,0.865,,1,anonymized engineered feature V12 (value=13.9) - pushed risk up; exact business meaning not disclosed by the data provider; unusually high transaction amount ($57.73)
3000035,49.51,0.862,,1,anonymized engineered feature C285 (value=11.77) - pushed risk up; exact business meaning not disclosed by the data provider; unusually high transaction amount ($49.51); anonymized engineered feature C119 (value=14.04) - pushed risk up; exact business meaning not disclosed by the data provider
3000015,38.55,0.831,,1,transaction timing unusual for this hour (8:00); anonymized engineered feature C99 (value=7.48) - pushed risk up; exact business meaning not disclosed by the data provider
3000007,1166.05,0.83,2.0,1,anonymized engineered feature C319 (value=2.15) - pushed risk up; exact business meaning not disclosed by the data provider; card network 'discover' associated with elevated risk in this data
3000009,164.24,0.79,3.0,1,unusually high transaction amount ($164.24); anonymized engineered feature C287 (value=17.87) - pushed risk up; exact business meaning not disclosed by the data provider
3000027,124.79,0.758,,1,anonymized engineered feature D322 (value=15.61) - pushed risk up; exact business meaning not disclosed by the data provider; unusually large distance field (36.2)
3000008,379.96,0.74,3.0,1,anonymized engineered feature C274 (value=6.34) - pushed risk up; exact business meaning not disclosed by the data provider; card type 'credit' associated with elevated risk in this data
3000012,88.7,0.723,,1,product category 'W' associated with elevated risk in this data; transaction timing unusual for this hour (19:00)
3000006,1303.33,0.71,2.0,1,email domain 'yahoo.com' associated with elevated risk in this data; anonymized engineered feature V37 (value=13.44) - pushed risk up; exact business meaning not disclosed by the data provider
3000036,46.58,0.658,,1,anonymized engineered feature C213 (value=7.21) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C301 (value=18.42) - pushed risk up; exact business meaning not disclosed by the data provider
3000005,674.51,0.61,2.0,1,anonymized engineered feature C150 (value=11.43) - pushed risk up; exact business meaning not disclosed by the data provider; unusually large distance field (26.5)
3000028,253.36,0.602,,1,product category 'W' associated with elevated risk in this data; anonymized engineered feature V233 (value=0.25) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C101 (value=9.17) - pushed risk up; exact business meaning not disclosed by the data provider
3000003,1367.82,0.59,1.0,1,anonymized engineered feature C33 (value=1.69) - pushed risk up; exact business meaning not disclosed by the data provider; card type 'credit' associated with elevated risk in this data
3000020,48.51,0.572,,1,anonymized engineered feature V272 (value=15.59) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature D46 (value=10.72) - pushed risk up; exact business meaning not disclosed by the data provider
3000016,51.26,0.547,,0,anonymized engineered feature D295 (value=9.08) - pushed risk up; exact business meaning not disclosed by the data provider; unusually large distance field (41.0); email domain 'missing/no email domain' associated with elevated risk in this data
3000032,24.12,0.542,,1,anonymized engineered feature V66 (value=5.42) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature D208 (value=1.09) - pushed risk up; exact business meaning not disclosed by the data provider; unusually high transaction amount ($24.12)
3000024,140.0,0.529,,0,email domain 'missing/no email domain' associated with elevated risk in this data; anonymized engineered feature C202 (value=15.65) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V86 (value=11.8) - pushed risk up; exact business meaning not disclosed by the data provider
3000033,63.83,0.431,,1,device type 'mobile' associated with elevated risk in this data; anonymized engineered feature D296 (value=2.9) - pushed risk up; exact business meaning not disclosed by the data provider; card type 'credit' associated with elevated risk in this data
3000025,647.19,0.391,,0,card type 'credit' associated with elevated risk in this data; anonymized engineered feature C247 (value=15.98) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature D48 (value=2.39) - pushed risk up; exact business meaning not disclosed by the data provider
3000013,19.25,0.367,,1,unusually high transaction amount ($19.25); anonymized engineered feature D173 (value=19.11) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C170 (value=11.1) - pushed risk up; exact business meaning not disclosed by the data provider
3000017,45.63,0.307,,0,product category 'W' associated with elevated risk in this data; unusually large distance field (2.0)
3000021,12.54,0.3,,0,anonymized engineered feature D266 (value=12.79) - pushed risk up; exact business meaning not disclosed by the data provider; email domain 'yahoo.com' associated with elevated risk in this data; email domain 'missing/no email domain' associated with elevated risk in this data
3000029,120.98,0.265,,0,anonymized engineered feature D233 (value=16.74) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V9 (value=13.0) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature C293 (value=4.82) - pushed risk up; exact business meaning not disclosed by the data provider
3000018,140.09,0.208,,0,transaction timing unusual for this hour (1:00); transaction timing unusual for this hour (7:00)
3000014,56.64,0.171,,0,anonymized engineered feature V317 (value=16.09) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature D7 (value=2.18) - pushed risk up; exact business meaning not disclosed by the data provider
3000022,489.49,0.166,,0,anonymized engineered feature D112 (value=10.71) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V273 (value=10.65) - pushed risk up; exact business meaning not disclosed by the data provider
3000030,265.71,0.165,,0,anonymized engineered feature D68 (value=18.21) - pushed risk up; exact business meaning not disclosed by the data provider; device type 'mobile' associated with elevated risk in this data
3000026,135.22,0.138,,0,email domain 'missing/no email domain' associated with elevated risk in this data; anonymized engineered feature D114 (value=17.97) - pushed risk up; exact business meaning not disclosed by the data provider; transaction timing unusual for this hour (8:00)
3000034,32.47,0.125,,0,anonymized engineered feature V51 (value=10.17) - pushed risk up; exact business meaning not disclosed by the data provider; anonymized engineered feature V41 (value=2.68) - pushed risk up; exact business meaning not disclosed by the data provider; card type 'credit' associated with elevated risk in this data
